Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
159,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,23-164,2000.0,9.0,517.0,559.0,92.5,8774.0,2530.0,217.0,229.0,94.8,253.0,268.0,94.4,38.0,44.0,86.4,0,0.5,0.4,-0.5,1.0,26.0,3.0,0.0,30.0,Matches
160,Serge Aurier,ci CIV,"DF,MF",Nott'ham Forest,eng Premier League,31-139,1992.0,9.3,348.0,448.0,77.7,5238.0,2147.0,191.0,225.0,84.9,130.0,156.0,83.3,17.0,45.0,37.8,2,0.5,0.5,1.5,4.0,31.0,9.0,4.0,47.0,Matches
161,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,es La Liga,30-095,1994.0,9.6,232.0,371.0,62.5,5068.0,1419.0,94.0,122.0,77.0,75.0,118.0,63.6,59.0,109.0,54.1,3,2.3,2.7,0.7,21.0,25.0,18.0,7.0,39.0,Matches
162,Ezequiel Ávila,ar ARG,FW,Betis,es La Liga,30-095,1994.0,3.3,55.0,91.0,60.4,914.0,180.0,26.0,30.0,86.7,18.0,30.0,60.0,6.0,17.0,35.3,0,0.1,0.1,-0.1,2.0,2.0,2.0,0.0,6.0,Matches
163,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,26-273,1997.0,11.4,123.0,171.0,71.9,1561.0,307.0,84.0,107.0,78.5,34.0,47.0,72.3,3.0,5.0,60.0,3,1.7,0.9,1.3,10.0,6.0,3.0,0.0,14.0,Matches
164,André Ayew,gh GHA,FW,Le Havre,fr Ligue 1,34-146,1989.0,11.3,184.0,250.0,73.6,2533.0,617.0,122.0,151.0,80.8,51.0,67.0,76.1,5.0,9.0,55.6,0,0.4,0.4,-0.4,6.0,25.0,3.0,1.0,21.0,Matches
165,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,eng Premier League,32-243,1991.0,28.2,676.0,915.0,73.9,9666.0,1854.0,415.0,476.0,87.2,210.0,282.0,74.5,24.0,74.0,32.4,7,4.2,2.7,2.8,25.0,42.0,26.0,10.0,63.0,Matches
166,Neil El Aynaoui,fr FRA,MF,Lens,fr Ligue 1,22-314,2001.0,17.4,576.0,670.0,86.0,8486.0,2193.0,302.0,344.0,87.8,209.0,230.0,90.9,25.0,43.0,58.1,2,0.8,0.9,1.2,16.0,66.0,10.0,1.0,59.0,Matches
167,Sardar Azmoun,ir IRN,"FW,MF",Roma,it Serie A,29-131,1995.0,6.2,102.0,148.0,68.9,1430.0,350.0,64.0,85.0,75.3,33.0,40.0,82.5,2.0,4.0,50.0,0,1.2,0.4,-1.2,7.0,9.0,4.0,1.0,14.0,Matches
168,César Azpilicueta,es ESP,DF,Atlético Madrid,es La Liga,34-257,1989.0,12.7,716.0,853.0,83.9,10669.0,4356.0,411.0,438.0,93.8,244.0,286.0,85.3,40.0,87.0,46.0,2,2.2,1.7,-0.2,12.0,65.0,11.0,1.0,65.0,Matches
169,Paulo Azzi,br BRA,"DF,MF",Cagliari,it Serie A,29-301,1994.0,10.4,317.0,478.0,66.3,4966.0,2111.0,172.0,210.0,81.9,117.0,178.0,65.7,19.0,59.0,32.2,0,0.7,0.4,-0.7,9.0,24.0,10.0,6.0,35.0,Matches
