Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
533,Djaoui Cissé,fr FRA,MF,Rennes,fr Ligue 1,20-101,2004.0,0.0,5.0,5.0,100.0,75.0,0.0,4.0,4.0,100.0,1.0,1.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
534,Ibrahim Cissoko,nl NED,"FW,MF",Toulouse,fr Ligue 1,21-046,2003.0,2.7,89.0,116.0,76.7,1398.0,357.0,50.0,57.0,87.7,27.0,39.0,69.2,7.0,10.0,70.0,1,0.4,0.7,0.6,6.0,7.0,9.0,7.0,12.0,Matches
535,Giorgio Cittadini,it ITA,DF,Monza,it Serie A,22-023,2002.0,0.2,5.0,6.0,83.3,94.0,39.0,1.0,2.0,50.0,3.0,3.0,100.0,1.0,1.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Matches
536,Giorgio Cittadini,it ITA,DF,Genoa,it Serie A,22-023,2002.0,0.3,10.0,17.0,58.8,223.0,76.0,3.0,4.0,75.0,4.0,8.0,50.0,3.0,4.0,75.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches
537,Patrick Ciurria,it ITA,"DF,MF",Monza,it Serie A,29-092,1995.0,17.8,662.0,847.0,78.2,10671.0,3258.0,335.0,377.0,88.9,271.0,348.0,77.9,41.0,72.0,56.9,1,2.6,2.1,-1.6,30.0,46.0,28.0,10.0,68.0,Matches
538,Bobby Clark,eng ENG,MF,Liverpool,eng Premier League,19-094,2005.0,1.0,38.0,49.0,77.6,465.0,64.0,23.0,29.0,79.3,11.0,12.0,91.7,1.0,2.0,50.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,Matches
539,Jordan Clark,eng ENG,MF,Luton Town,eng Premier League,30-232,1993.0,13.1,336.0,468.0,71.8,5579.0,1556.0,163.0,211.0,77.3,121.0,155.0,78.1,32.0,59.0,54.2,1,1.1,1.1,-0.1,10.0,18.0,17.0,4.0,46.0,Matches
540,Alexis Claude-Maurice,fr FRA,MF,Nice,fr Ligue 1,25-340,1998.0,4.9,187.0,237.0,78.9,2646.0,521.0,111.0,122.0,91.0,50.0,69.0,72.5,12.0,22.0,54.5,0,0.3,0.6,-0.3,7.0,13.0,6.0,3.0,19.0,Matches
541,Jonathan Clauss,fr FRA,DF,Marseille,fr Ligue 1,31-229,1992.0,21.3,1087.0,1443.0,75.3,18698.0,6607.0,513.0,607.0,84.5,454.0,567.0,80.1,95.0,198.0,48.0,2,3.9,4.5,-1.9,38.0,99.0,43.0,14.0,131.0,Matches
542,Silvi Clúa,es ESP,MF,Girona,es La Liga,19-103,2005.0,0.0,5.0,5.0,100.0,85.0,41.0,1.0,1.0,100.0,4.0,4.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches
543,Nathaniel Clyne,eng ENG,DF,Crystal Palace,eng Premier League,33-036,1991.0,12.9,435.0,531.0,81.9,6659.0,2710.0,232.0,253.0,91.7,170.0,199.0,85.4,24.0,48.0,50.0,0,0.2,0.2,-0.2,3.0,29.0,4.0,2.0,31.0,Matches
544,Marcus Coco,fr FRA,"DF,FW",Nantes,fr Ligue 1,27-322,1996.0,15.0,442.0,598.0,73.9,7074.0,2626.0,209.0,249.0,83.9,184.0,234.0,78.6,27.0,80.0,33.8,0,1.0,1.0,-1.0,12.0,39.0,17.0,8.0,52.0,Matches
545,Saúl Coco,gq EQG,DF,Las Palmas,es La Liga,25-092,1999.0,21.5,1081.0,1222.0,88.5,18086.0,7233.0,496.0,524.0,94.7,525.0,567.0,92.6,45.0,95.0,47.4,0,0.0,0.1,0.0,1.0,45.0,0.0,0.0,61.0,Matches
546,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,35-213,1988.0,5.4,141.0,215.0,65.6,2267.0,986.0,83.0,101.0,82.2,48.0,67.0,71.6,9.0,34.0,26.5,0,1.0,0.7,-1.0,2.0,8.0,3.0,1.0,18.0,Matches
547,Maxime Colin,fr FRA,DF,Metz,fr Ligue 1,32-178,1991.0,18.4,618.0,868.0,71.2,10599.0,5101.0,287.0,356.0,80.6,265.0,349.0,75.9,50.0,116.0,43.1,0,0.4,0.6,-0.4,4.0,57.0,7.0,5.0,62.0,Matches
548,Nathan Collins,ie IRL,DF,Brentford,eng Premier League,23-011,2001.0,28.5,1220.0,1500.0,81.3,22737.0,8397.0,449.0,510.0,88.0,638.0,734.0,86.9,112.0,206.0,54.4,1,2.1,1.0,-1.1,10.0,76.0,6.0,0.0,96.0,Matches
549,Nnamdi Collins,de GER,DF,Eint Frankfurt,de Bundesliga,20-122,2004.0,1.0,61.0,75.0,81.3,1011.0,387.0,23.0,26.0,88.5,35.0,39.0,89.7,2.0,7.0,28.6,0,0.0,0.1,0.0,0.0,8.0,0.0,0.0,13.0,Matches
550,Lorenzo Colombo,it ITA,FW,Monza,it Serie A,22-064,2002.0,15.1,185.0,263.0,70.3,2711.0,593.0,104.0,139.0,74.8,48.0,66.0,72.7,16.0,22.0,72.7,1,0.6,0.5,0.4,8.0,10.0,3.0,0.0,24.0,Matches
551,Andrea Colpani,it ITA,"MF,FW",Monza,it Serie A,25-000,1999.0,27.1,687.0,902.0,76.2,12711.0,2903.0,306.0,348.0,87.9,267.0,337.0,79.2,93.0,164.0,56.7,4,4.8,4.3,-0.8,51.0,48.0,38.0,8.0,109.0,Matches
552,Levi Colwill,eng ENG,DF,Chelsea,eng Premier League,21-075,2003.0,20.0,965.0,1163.0,83.0,16310.0,5939.0,444.0,495.0,89.7,456.0,508.0,89.8,51.0,117.0,43.6,1,1.2,0.5,-0.2,7.0,82.0,6.0,0.0,73.0,Matches
553,Kingsley Coman,fr FRA,FW,Bayern Munich,de Bundesliga,27-333,1996.0,12.4,528.0,647.0,81.6,8358.0,1597.0,285.0,330.0,86.4,206.0,233.0,88.4,26.0,45.0,57.8,3,3.8,4.5,-0.8,29.0,19.0,41.0,8.0,72.0,Matches
554,Eray Cömert,ch SUI,DF,Nantes,fr Ligue 1,26-097,1998.0,20.3,902.0,1012.0,89.1,18109.0,5803.0,282.0,300.0,94.0,488.0,514.0,94.9,113.0,169.0,66.9,0,0.1,0.4,-0.1,3.0,55.0,4.0,2.0,55.0,Matches
555,Santi Comesaña,es ESP,MF,Villarreal,es La Liga,27-219,1996.0,15.5,616.0,709.0,86.9,10292.0,2864.0,298.0,327.0,91.1,264.0,298.0,88.6,40.0,57.0,70.2,0,1.7,1.3,-1.7,9.0,66.0,5.0,0.0,77.0,Matches
556,Pietro Comuzzo,it ITA,"DF,FW",Fiorentina,it Serie A,19-081,2005.0,0.5,27.0,38.0,71.1,550.0,154.0,5.0,11.0,45.5,21.0,24.0,87.5,1.0,2.0,50.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,Matches
557,Alois Confais,fr FRA,FW,Le Havre,fr Ligue 1,27-247,1996.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
558,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,37-105,1987.0,33.0,801.0,1176.0,68.1,23217.0,16482.0,120.0,120.0,100.0,384.0,391.0,98.2,292.0,659.0,44.3,0,0.0,0.1,0.0,0.0,14.0,2.0,0.0,0.0,Matches
559,Bambasé Conté,de GER,"MF,FW",Hoffenheim,de Bundesliga,20-309,2003.0,0.5,19.0,24.0,79.2,228.0,61.0,14.0,15.0,93.3,4.0,6.0,66.7,1.0,3.0,33.3,0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,Matches
560,Nikita Contini Baranovsky,it ITA,GK,Napoli,it Serie A,27-356,1996.0,0.2,4.0,4.0,100.0,66.0,38.0,2.0,2.0,100.0,2.0,2.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
561,Lewis Cook,eng ENG,MF,Bournemouth,eng Premier League,27-098,1997.0,29.0,1056.0,1387.0,76.1,18937.0,6324.0,420.0,498.0,84.3,509.0,581.0,87.6,103.0,240.0,42.9,3,3.6,2.8,-0.6,41.0,127.0,20.0,4.0,134.0,Matches
562,Copete,es ESP,DF,Mallorca,es La Liga,24-214,1999.0,12.9,389.0,501.0,77.6,7716.0,2722.0,136.0,156.0,87.2,196.0,229.0,85.6,50.0,101.0,49.5,0,0.1,0.4,-0.1,3.0,37.0,5.0,2.0,44.0,Matches
563,Diego Coppola,it ITA,DF,Hellas Verona,it Serie A,20-135,2003.0,15.2,470.0,601.0,78.2,9882.0,3846.0,124.0,154.0,80.5,273.0,309.0,88.3,71.0,122.0,58.2,0,0.0,0.1,0.0,2.0,28.0,0.0,0.0,33.0,Matches
564,Francis Coquelin,fr FRA,MF,Villarreal,es La Liga,32-364,1991.0,9.1,328.0,374.0,87.7,5441.0,1416.0,153.0,166.0,92.2,148.0,162.0,91.4,21.0,30.0,70.0,0,0.1,0.6,-0.1,1.0,32.0,7.0,1.0,40.0,Matches
565,Tommaso Corazza,it ITA,DF,Bologna,it Serie A,19-317,2004.0,2.1,116.0,141.0,82.3,1713.0,595.0,66.0,72.0,91.7,38.0,41.0,92.7,7.0,15.0,46.7,0,0.1,0.2,-0.1,1.0,7.0,4.0,3.0,14.0,Matches
566,Theo Corbeanu,ca CAN,"MF,DF",Granada,es La Liga,21-360,2002.0,1.5,33.0,50.0,66.0,597.0,147.0,17.0,21.0,81.0,8.0,15.0,53.3,6.0,10.0,60.0,0,0.0,0.2,0.0,0.0,5.0,2.0,2.0,5.0,Matches
567,Jeppe Corfitzen,dk DEN,FW,Lecce,it Serie A,19-134,2004.0,0.1,2.0,3.0,66.7,33.0,0.0,0.0,0.0,,2.0,3.0,66.7,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
568,Jack Cork,eng ENG,MF,Burnley,eng Premier League,34-321,1989.0,0.2,16.0,24.0,66.7,252.0,39.0,6.0,9.0,66.7,8.0,8.0,100.0,1.0,3.0,33.3,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,Matches
569,Maxwel Cornet,ci CIV,"MF,FW",West Ham,eng Premier League,27-227,1996.0,1.2,36.0,49.0,73.5,407.0,70.0,27.0,34.0,79.4,6.0,8.0,75.0,0.0,1.0,0.0,0,0.2,0.0,-0.2,4.0,0.0,0.0,0.0,2.0,Matches
570,Giacomo Corona,it ITA,FW,Empoli,it Serie A,20-077,2004.0,0.1,2.0,2.0,100.0,41.0,0.0,1.0,1.0,100.0,0.0,0.0,,1.0,1.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
571,Jesús Corona,mx MEX,"MF,DF",Sevilla,es La Liga,31-126,1993.0,0.2,9.0,14.0,64.3,106.0,14.0,6.0,7.0,85.7,3.0,6.0,50.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
572,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,es La Liga,29-063,1995.0,14.2,324.0,440.0,73.6,4084.0,988.0,216.0,261.0,82.8,72.0,94.0,76.6,14.0,35.0,40.0,2,2.8,3.1,-0.8,26.0,26.0,22.0,2.0,55.0,Matches
573,Joaquín Correa,ar ARG,"FW,MF",Marseille,fr Ligue 1,29-272,1994.0,4.8,131.0,167.0,78.4,2086.0,576.0,61.0,80.0,76.3,60.0,62.0,96.8,7.0,9.0,77.8,0,0.7,0.6,-0.7,5.0,10.0,11.0,0.0,25.0,Matches
574,Thierry Correia,pt POR,DF,Valencia,es La Liga,25-063,1999.0,21.1,908.0,1197.0,75.9,15046.0,6113.0,476.0,532.0,89.5,339.0,421.0,80.5,78.0,193.0,40.4,2,0.7,1.2,1.3,11.0,67.0,23.0,9.0,73.0,Matches
575,Oscar Cortés,co COL,"FW,MF",Lens,fr Ligue 1,20-160,2003.0,0.5,18.0,26.0,69.2,217.0,36.0,13.0,19.0,68.4,3.0,4.0,75.0,0.0,1.0,0.0,1,0.7,0.1,0.3,1.0,1.0,1.0,1.0,2.0,Matches
576,Danny da Costa,de GER,DF,Mainz 05,de Bundesliga,30-303,1993.0,9.1,309.0,461.0,67.0,5395.0,2476.0,139.0,172.0,80.8,124.0,190.0,65.3,36.0,68.0,52.9,1,1.2,1.3,-0.2,9.0,26.0,16.0,9.0,39.0,Matches
577,David Pereira da Costa,pt POR,MF,Lens,fr Ligue 1,23-127,2001.0,14.7,484.0,631.0,76.7,7744.0,2066.0,228.0,267.0,85.4,187.0,236.0,79.2,37.0,67.0,55.2,2,3.4,2.9,-1.4,25.0,41.0,22.0,7.0,61.0,Matches
578,Jaume Costa,es ESP,DF,Mallorca,es La Liga,36-054,1988.0,15.8,528.0,726.0,72.7,8189.0,3615.0,299.0,337.0,88.7,184.0,251.0,73.3,35.0,102.0,34.3,0,0.9,1.0,-0.9,14.0,33.0,17.0,11.0,43.0,Matches
579,João Costa,br BRA,MF,Roma,it Serie A,19-044,2005.0,0.1,4.0,5.0,80.0,50.0,31.0,3.0,3.0,100.0,1.0,1.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
580,Logan Costa,cv CPV,DF,Toulouse,fr Ligue 1,23-040,2001.0,27.4,1399.0,1669.0,83.8,27266.0,11300.0,472.0,517.0,91.3,733.0,827.0,88.6,165.0,274.0,60.2,1,0.6,0.7,0.4,5.0,124.0,6.0,2.0,134.0,Matches
581,Samu Costa,pt POR,MF,Mallorca,es La Liga,23-166,2000.0,23.9,772.0,1007.0,76.7,14346.0,3774.0,327.0,395.0,82.8,337.0,404.0,83.4,95.0,144.0,66.0,1,0.5,0.9,0.5,12.0,71.0,11.0,4.0,89.0,Matches
582,Benoît Costil,fr FRA,GK,Salernitana,it Serie A,36-313,1987.0,13.0,258.0,428.0,60.3,7748.0,6197.0,48.0,49.0,98.0,109.0,111.0,98.2,101.0,267.0,37.8,0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,Matches
583,Grégoire Coudert,fr FRA,GK,Brest,fr Ligue 1,25-038,1999.0,2.0,55.0,80.0,68.8,1658.0,1275.0,7.0,7.0,100.0,28.0,28.0,100.0,20.0,45.0,44.4,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Matches
584,Vladimír Coufal,cz CZE,DF,West Ham,eng Premier League,31-263,1992.0,32.8,1074.0,1567.0,68.5,17419.0,8659.0,555.0,625.0,88.8,417.0,590.0,70.7,76.0,241.0,31.5,7,3.2,2.5,3.8,30.0,97.0,35.0,19.0,116.0,Matches
585,Lassana Coulibaly,ml MLI,MF,Salernitana,it Serie A,28-031,1996.0,20.6,669.0,791.0,84.6,10752.0,2881.0,335.0,373.0,89.8,269.0,307.0,87.6,45.0,59.0,76.3,1,0.8,0.8,0.2,10.0,72.0,5.0,1.0,82.0,Matches
586,Mamadou Coulibaly,sn SEN,DF,Salernitana,it Serie A,25-098,1999.0,0.0,1.0,3.0,33.3,6.0,1.0,1.0,3.0,33.3,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
587,Mamadou Coulibaly,fr FRA,MF,Monaco,fr Ligue 1,20-020,2004.0,0.8,42.0,54.0,77.8,598.0,128.0,23.0,31.0,74.2,17.0,20.0,85.0,1.0,1.0,100.0,0,0.1,0.0,-0.1,1.0,5.0,1.0,0.0,4.0,Matches
588,Tanguy Coulibaly,fr FRA,"FW,MF",Montpellier,fr Ligue 1,23-083,2001.0,5.3,94.0,124.0,75.8,1280.0,223.0,55.0,63.0,87.3,28.0,38.0,73.7,3.0,6.0,50.0,0,0.7,0.6,-0.7,7.0,5.0,3.0,0.0,12.0,Matches
589,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,32-000,1992.0,1.0,27.0,30.0,90.0,627.0,463.0,3.0,3.0,100.0,19.0,19.0,100.0,5.0,8.0,62.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
590,Philippe Coutinho,br BRA,"MF,FW",Aston Villa,eng Premier League,31-334,1992.0,0.3,20.0,24.0,83.3,265.0,63.0,11.0,14.0,78.6,8.0,9.0,88.9,0.0,0.0,,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,Matches
591,Yan Couto,br BRA,"DF,FW",Girona,es La Liga,21-343,2002.0,24.5,1033.0,1323.0,78.1,16222.0,3976.0,559.0,637.0,87.8,391.0,494.0,79.1,61.0,111.0,55.0,8,4.2,3.9,3.8,27.0,62.0,32.0,16.0,95.0,Matches
592,Nicolas Cozza,fr FRA,DF,Nantes,fr Ligue 1,25-124,1999.0,8.1,212.0,295.0,71.9,3630.0,1290.0,98.0,122.0,80.3,90.0,115.0,78.3,19.0,39.0,48.7,0,0.4,0.4,-0.4,2.0,18.0,3.0,1.0,12.0,Matches
593,Nicolas Cozza,fr FRA,DF,Wolfsburg,de Bundesliga,25-124,1999.0,3.1,147.0,192.0,76.6,2373.0,782.0,76.0,88.0,86.4,61.0,79.0,77.2,8.0,18.0,44.4,0,0.1,0.2,-0.1,2.0,19.0,2.0,2.0,16.0,Matches
594,Alessio Cragno,it ITA,GK,Sassuolo,it Serie A,29-318,1994.0,2.0,41.0,66.0,62.1,1105.0,787.0,12.0,12.0,100.0,14.0,14.0,100.0,15.0,40.0,37.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches
595,Crespo,pt POR,MF,Rayo Vallecano,es La Liga,27-243,1996.0,4.1,172.0,203.0,84.7,2513.0,918.0,97.0,107.0,90.7,62.0,75.0,82.7,8.0,12.0,66.7,0,0.4,0.4,-0.4,4.0,22.0,4.0,0.0,22.0,Matches
596,Aaron Cresswell,eng ENG,"DF,FW",West Ham,eng Premier League,34-148,1989.0,3.8,210.0,255.0,82.4,3428.0,1445.0,119.0,130.0,91.5,63.0,77.0,81.8,21.0,39.0,53.8,0,0.3,0.3,-0.3,4.0,14.0,3.0,0.0,24.0,Matches
597,Bryan Cristante,it ITA,"MF,DF",Roma,it Serie A,29-069,1995.0,33.6,1614.0,1974.0,81.8,28637.0,8797.0,702.0,812.0,86.5,735.0,833.0,88.2,141.0,222.0,63.5,4,2.9,3.0,1.1,29.0,210.0,35.0,5.0,218.0,Matches
598,Cristian,es ESP,GK,Valencia,es La Liga,26-051,1998.0,0.6,13.0,18.0,72.2,294.0,213.0,3.0,3.0,100.0,8.0,8.0,100.0,2.0,7.0,28.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
599,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,31-288,1992.0,17.4,674.0,885.0,76.2,11889.0,5085.0,326.0,363.0,89.8,273.0,364.0,75.0,72.0,135.0,53.3,1,0.4,0.6,0.6,5.0,65.0,9.0,3.0,73.0,Matches
600,Juan Cruz,ar ARG,"FW,MF",Hellas Verona,it Serie A,24-297,1999.0,1.2,18.0,27.0,66.7,211.0,78.0,16.0,22.0,72.7,1.0,2.0,50.0,1.0,2.0,50.0,0,0.1,0.1,-0.1,1.0,1.0,0.0,0.0,4.0,Matches
601,Juan Cruz,es ESP,FW,Betis,es La Liga,24-016,2000.0,0.8,15.0,20.0,75.0,187.0,49.0,13.0,15.0,86.7,2.0,4.0,50.0,0.0,1.0,0.0,0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,Matches
602,Juan Cuadrado,co COL,DF,Inter,it Serie A,35-351,1988.0,2.6,139.0,167.0,83.2,2456.0,571.0,64.0,68.0,94.1,54.0,68.0,79.4,14.0,23.0,60.9,2,1.5,1.2,0.5,8.0,9.0,5.0,2.0,11.0,Matches
603,Pau Cubarsí,es ESP,DF,Barcelona,es La Liga,17-110,2007.0,13.6,1069.0,1174.0,91.1,20057.0,6487.0,387.0,415.0,93.3,576.0,603.0,95.5,99.0,139.0,71.2,0,0.3,0.3,-0.3,3.0,57.0,0.0,0.0,63.0,Matches
604,Marc Cucurella,es ESP,DF,Chelsea,eng Premier League,25-294,1998.0,16.8,877.0,1019.0,86.1,12915.0,3724.0,500.0,544.0,91.9,323.0,364.0,88.7,31.0,61.0,50.8,1,1.0,1.1,0.0,17.0,41.0,4.0,2.0,44.0,Matches
605,Jorge Cuenca,es ESP,DF,Villarreal,es La Liga,24-176,1999.0,19.0,863.0,1027.0,84.0,15710.0,5739.0,325.0,341.0,95.3,470.0,527.0,89.2,59.0,133.0,44.4,0,0.1,0.5,-0.1,1.0,53.0,6.0,3.0,70.0,Matches
606,Josh Cullen,ie IRL,MF,Burnley,eng Premier League,28-034,1996.0,21.0,1074.0,1264.0,85.0,17239.0,4416.0,567.0,613.0,92.5,420.0,470.0,89.4,66.0,123.0,53.7,3,1.8,2.2,1.2,25.0,103.0,16.0,3.0,111.0,Matches
607,Matheus Cunha,br BRA,"FW,MF",Wolves,eng Premier League,24-350,1999.0,25.3,621.0,779.0,79.7,8393.0,2162.0,390.0,449.0,86.9,172.0,217.0,79.3,30.0,52.0,57.7,7,3.1,2.9,3.9,27.0,51.0,29.0,1.0,79.0,Matches
608,Marvin Cuni,al ALB,FW,Frosinone,it Serie A,22-306,2001.0,5.8,80.0,112.0,71.4,967.0,151.0,46.0,58.0,79.3,20.0,28.0,71.4,3.0,4.0,75.0,0,0.2,0.2,-0.2,5.0,2.0,2.0,0.0,10.0,Matches
609,Eric Curbelo,es ESP,DF,Las Palmas,es La Liga,30-118,1994.0,1.0,51.0,53.0,96.2,785.0,302.0,27.0,27.0,100.0,22.0,24.0,91.7,2.0,2.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Matches
610,Tomáš Čvančara,cz CZE,FW,M'Gladbach,de Bundesliga,23-272,2000.0,9.3,128.0,202.0,63.4,1581.0,373.0,83.0,122.0,68.0,36.0,51.0,70.6,3.0,3.0,100.0,1,0.7,0.8,0.3,7.0,7.0,4.0,2.0,13.0,Matches
611,Danilo D'Ambrosio,it ITA,DF,Monza,it Serie A,35-245,1988.0,15.4,871.0,974.0,89.4,15487.0,4882.0,328.0,344.0,95.3,464.0,492.0,94.3,65.0,110.0,59.1,0,0.2,0.4,-0.2,4.0,52.0,4.0,1.0,53.0,Matches
612,Alberto Dadie,es ESP,MF,Real Sociedad,es La Liga,21-296,2002.0,0.3,3.0,7.0,42.9,47.0,33.0,2.0,4.0,50.0,1.0,1.0,100.0,0.0,0.0,,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Matches
613,Trévis Dago,ci CIV,"FW,MF",Lille,fr Ligue 1,19-111,2005.0,0.3,2.0,4.0,50.0,31.0,19.0,1.0,3.0,33.3,1.0,1.0,100.0,0.0,0.0,,1,0.4,0.0,0.6,1.0,0.0,1.0,1.0,0.0,Matches
614,Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,26-045,1998.0,31.0,1025.0,1345.0,76.2,27889.0,18248.0,166.0,168.0,98.8,556.0,566.0,98.2,299.0,600.0,49.8,0,0.1,0.2,-0.1,1.0,44.0,1.0,0.0,3.0,Matches
615,Mahmoud Dahoud,de GER,MF,Brighton,eng Premier League,28-131,1996.0,5.0,284.0,328.0,86.6,4011.0,886.0,169.0,176.0,96.0,84.0,99.0,84.8,16.0,25.0,64.0,1,0.9,0.4,0.1,10.0,21.0,1.0,1.0,11.0,Matches
616,Mahmoud Dahoud,de GER,MF,Stuttgart,de Bundesliga,28-131,1996.0,2.5,205.0,235.0,87.2,3140.0,829.0,117.0,126.0,92.9,63.0,71.0,88.7,16.0,24.0,66.7,0,0.5,0.9,-0.5,7.0,19.0,3.0,1.0,19.0,Matches
617,Ameen Al-Dakhil,be BEL,DF,Burnley,eng Premier League,22-066,2002.0,11.7,537.0,637.0,84.3,9642.0,2939.0,208.0,220.0,94.5,280.0,321.0,87.2,42.0,77.0,54.5,0,0.1,0.6,-0.1,2.0,13.0,2.0,0.0,35.0,Matches
618,Thijs Dallinga,nl NED,FW,Toulouse,fr Ligue 1,23-282,2000.0,26.0,387.0,575.0,67.3,5382.0,1019.0,227.0,318.0,71.4,110.0,161.0,68.3,19.0,34.0,55.9,2,1.0,1.7,1.0,14.0,16.0,14.0,2.0,36.0,Matches
619,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,25-054,1999.0,32.3,1377.0,1693.0,81.3,23218.0,7450.0,669.0,748.0,89.4,533.0,649.0,82.1,133.0,201.0,66.2,3,2.7,2.3,0.3,35.0,95.0,30.0,16.0,116.0,Matches
620,Mikkel Damsgaard,dk DEN,MF,Brentford,eng Premier League,23-313,2000.0,8.2,259.0,376.0,68.9,4198.0,1680.0,132.0,172.0,76.7,98.0,126.0,77.8,23.0,48.0,47.9,2,1.4,0.9,0.6,10.0,45.0,10.0,1.0,56.0,Matches
621,Flavius Daniliuc,at AUT,DF,Salernitana,it Serie A,23-014,2001.0,8.3,350.0,411.0,85.2,5932.0,2368.0,157.0,180.0,87.2,157.0,170.0,92.4,27.0,39.0,69.2,0,0.2,0.1,-0.2,5.0,31.0,2.0,0.0,37.0,Matches
622,Danilo,br BRA,MF,Nott'ham Forest,eng Premier League,23-012,2001.0,18.0,555.0,708.0,78.4,9856.0,2920.0,240.0,278.0,86.3,232.0,267.0,86.9,66.0,114.0,57.9,2,1.4,0.7,0.6,17.0,69.0,14.0,0.0,76.0,Matches
623,Danilo,br BRA,DF,Juventus,it Serie A,32-301,1991.0,25.2,1473.0,1713.0,86.0,29019.0,10232.0,506.0,543.0,93.2,772.0,842.0,91.7,181.0,283.0,64.0,1,0.9,0.9,0.1,21.0,143.0,14.0,4.0,156.0,Matches
624,Arnaut Danjuma,nl NED,"MF,FW",Everton,eng Premier League,27-101,1997.0,6.6,102.0,152.0,67.1,1420.0,357.0,57.0,69.0,82.6,37.0,54.0,68.5,2.0,7.0,28.6,0,1.1,0.4,-1.1,6.0,6.0,2.0,0.0,9.0,Matches
625,Jayden Danns,eng ENG,FW,Liverpool,eng Premier League,18-116,2006.0,0.1,5.0,7.0,71.4,73.0,16.0,3.0,4.0,75.0,2.0,3.0,66.7,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Matches
626,Kevin Danso,at AUT,DF,Lens,fr Ligue 1,25-235,1998.0,29.5,1508.0,1719.0,87.7,27659.0,10926.0,573.0,622.0,92.1,779.0,856.0,91.0,128.0,196.0,65.3,0,0.4,0.7,-0.4,8.0,122.0,6.0,0.0,133.0,Matches
627,Dante,br BRA,DF,Nice,fr Ligue 1,40-206,1983.0,30.6,2477.0,2739.0,90.4,42475.0,16928.0,1130.0,1186.0,95.3,1111.0,1173.0,94.7,178.0,297.0,59.9,1,0.9,1.2,0.1,12.0,166.0,6.0,1.0,180.0,Matches
628,Raimane Daou,km COM,"DF,MF",Marseille,fr Ligue 1,19-173,2004.0,0.3,11.0,13.0,84.6,120.0,30.0,11.0,11.0,100.0,0.0,2.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches
629,Mohammed Daramy,dk DEN,"FW,MF",Reims,fr Ligue 1,22-125,2002.0,18.3,401.0,527.0,76.1,5848.0,1542.0,222.0,276.0,80.4,139.0,171.0,81.3,17.0,29.0,58.6,5,2.4,2.9,2.6,23.0,22.0,30.0,3.0,69.0,Matches
