Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Matches
170,Wojciech Szczęsny,pl POL,GK,Juventus,it Serie A,34-023,1990,33,33,2970,33.0,26,0.79,99,74,75.8,17,11,5,15,45.5,3,2,1,0,33.3,Matches
171,Arnau Tenas,es ESP,GK,Paris S-G,fr Ligue 1,22-347,2001,4,3,349,3.9,3,0.77,16,13,81.3,1,2,0,1,33.3,0,0,0,0,,Matches
172,Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,32-011,1992,24,24,2160,24.0,26,1.08,86,60,72.1,16,5,3,12,50.0,2,2,0,0,0.0,Matches
173,Pietro Terracciano,it ITA,GK,Fiorentina,it Serie A,34-064,1990,30,30,2700,30.0,30,1.0,115,84,79.1,13,7,10,8,26.7,7,6,1,0,14.3,Matches
174,James Trafford,eng ENG,GK,Burnley,eng Premier League,21-214,2002,28,28,2520,28.0,62,2.21,166,106,65.7,3,5,20,2,7.1,5,5,0,0,0.0,Matches
175,Kevin Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,33-308,1990,30,30,2700,30.0,45,1.5,129,82,71.3,10,11,9,7,23.3,10,8,2,0,20.0,Matches
176,Mark Travers,ie IRL,GK,Bournemouth,eng Premier League,24-359,1999,3,3,270,3.0,3,1.0,14,11,85.7,2,0,1,2,66.7,1,1,0,0,0.0,Matches
177,Stefano Turati,it ITA,GK,Frosinone,it Serie A,22-249,2001,31,31,2745,30.5,58,1.9,152,94,65.1,6,9,16,4,12.9,7,5,1,1,16.7,Matches
178,Matt Turner,us USA,GK,Nott'ham Forest,eng Premier League,29-322,1994,17,17,1530,17.0,28,1.65,80,52,67.5,4,5,8,2,11.8,2,2,0,0,0.0,Matches
179,Sven Ulreich,de GER,GK,Bayern Munich,de Bundesliga,35-282,1988,11,11,990,11.0,12,1.09,31,19,64.5,7,2,2,4,36.4,1,1,0,0,0.0,Matches
180,Álvaro Vallés,es ESP,GK,Las Palmas,es La Liga,26-291,1997,33,33,2903,32.3,40,1.24,139,99,74.8,10,7,16,7,21.2,8,5,2,1,28.6,Matches
181,Bart Verbruggen,nl NED,GK,Brighton,eng Premier League,21-267,2002,19,19,1710,19.0,25,1.32,78,53,71.8,7,7,5,4,21.1,3,3,0,0,0.0,Matches
182,Guglielmo Vicario,it ITA,GK,Tottenham,eng Premier League,27-217,1996,35,35,3150,35.0,58,1.66,158,103,67.1,18,6,11,6,17.1,6,6,0,0,0.0,Matches
183,Iván Villar,es ESP,GK,Celta Vigo,es La Liga,26-307,1997,10,10,834,9.3,15,1.62,41,25,65.9,1,3,6,0,0.0,2,1,1,0,50.0,Matches
184,Odisseas Vlachodimos,gr GRE,GK,Nott'ham Forest,eng Premier League,30-015,1994,5,5,450,5.0,12,2.4,22,10,50.0,1,0,4,1,20.0,1,1,0,0,0.0,Matches
185,Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,29-196,1994,28,28,2520,28.0,47,1.68,123,77,64.2,5,12,11,6,21.4,4,3,0,1,0.0,Matches
186,Michael Zetterer,de GER,GK,Werder Bremen,de Bundesliga,28-304,1995,25,25,2250,25.0,35,1.4,116,82,73.3,8,8,9,6,24.0,4,4,0,0,0.0,Matches
