Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Matches
69,Dean Henderson,eng ENG,GK,Crystal Palace,eng Premier League,27-060,1997,16,16,1440,16.0,29,1.81,76,48,63.2,6,4,6,3,18.8,1,1,0,0,0.0,Matches
70,Sergio Herrera,es ESP,GK,Osasuna,es La Liga,30-341,1993,30,30,2689,29.9,44,1.47,124,79,64.5,11,6,13,9,30.0,1,0,1,0,100.0,Matches
71,Lukáš Hrádecký,fi FIN,GK,Leverkusen,de Bundesliga,34-169,1989,31,31,2790,31.0,23,0.74,100,77,77.0,26,5,0,14,45.2,0,0,0,0,,Matches
72,Sam Johnstone,eng ENG,GK,Crystal Palace,eng Premier League,31-047,1993,20,20,1796,20.0,27,1.35,67,41,62.7,5,6,9,6,30.0,2,2,0,0,0.0,Matches
73,Filip Jørgensen,dk DEN,GK,Villarreal,es La Liga,22-025,2002,33,33,2970,33.0,57,1.73,191,135,72.8,11,9,13,5,15.2,5,5,0,0,0.0,Matches
74,Thomas Kaminski,be BEL,GK,Luton Town,eng Premier League,31-201,1992,36,36,3240,36.0,78,2.17,207,133,64.3,6,8,22,2,5.6,4,4,0,0,0.0,Matches
75,Loris Karius,de GER,GK,Newcastle Utd,eng Premier League,30-324,1993,1,1,90,1.0,4,4.0,7,4,42.9,0,0,1,0,0.0,0,0,0,0,,Matches
76,Caoimhín Kelleher,ie IRL,GK,Liverpool,eng Premier League,25-170,1998,10,10,900,10.0,11,1.1,38,28,71.1,8,2,0,2,20.0,0,0,0,0,,Matches
77,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,26-157,1997,26,26,2275,25.3,34,1.35,118,84,75.4,13,8,5,6,23.1,6,5,1,0,16.7,Matches
78,Philipp Köhn,ch SUI,GK,Monaco,fr Ligue 1,26-039,1998,22,22,1980,22.0,32,1.45,97,65,72.2,11,5,6,5,22.7,6,5,1,0,16.7,Matches
79,Tomáš Koubek,cz CZE,GK,Augsburg,de Bundesliga,31-259,1992,2,2,180,2.0,6,3.0,17,11,64.7,0,0,2,0,0.0,0,0,0,0,,Matches
80,Matej Kovar,cz CZE,GK,Leverkusen,de Bundesliga,23-360,2000,1,1,90,1.0,0,0.0,3,3,100.0,0,1,0,1,100.0,0,0,0,0,,Matches
81,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,25-109,1999,26,26,2316,25.7,37,1.44,109,72,72.5,7,4,15,7,26.9,7,7,0,0,0.0,Matches
82,Nicola Leali,it ITA,GK,Genoa,it Serie A,31-084,1993,2,1,91,1.0,2,1.98,8,6,75.0,0,0,1,0,0.0,0,0,0,0,,Matches
83,Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,33-015,1991,30,30,2700,30.0,37,1.23,137,102,75.9,9,11,10,10,33.3,5,4,1,0,20.0,Matches
84,Jeremías Ledesma,ar ARG,GK,Cádiz,es La Liga,31-088,1993,31,31,2778,30.9,47,1.52,143,96,68.5,4,11,16,6,19.4,2,2,0,0,0.0,Matches
85,Bernd Leno,de GER,GK,Fulham,eng Premier League,32-068,1992,36,36,3240,36.0,55,1.53,175,124,72.0,12,8,16,10,27.8,6,6,0,0,0.0,Matches
86,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,33-223,1990,29,29,2610,29.0,48,1.66,146,98,69.9,14,4,11,8,27.6,5,4,1,0,20.0,Matches
87,Pau López,es ESP,GK,Marseille,fr Ligue 1,29-150,1994,30,30,2669,29.7,36,1.21,113,77,69.9,11,11,8,7,23.3,2,2,0,0,0.0,Matches
88,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,25-090,1999,20,20,1800,20.0,13,0.65,58,45,79.3,16,4,0,10,50.0,1,1,0,0,0.0,Matches
89,Andreas Luthe,de GER,GK,Bochum,de Bundesliga,37-062,1987,1,1,90,1.0,4,4.0,4,1,0.0,0,0,1,0,0.0,0,0,0,0,,Matches
90,Mike Maignan,fr FRA,GK,Milan,it Serie A,28-313,1995,29,29,2609,29.0,34,1.17,120,86,77.5,19,5,5,10,34.5,7,7,0,0,0.0,Matches
91,Radosław Majecki,pl POL,GK,Monaco,fr Ligue 1,24-177,1999,10,10,900,10.0,10,1.0,49,40,79.6,7,2,1,5,50.0,0,0,0,0,,Matches
92,Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,23-225,2000,33,33,2924,32.5,35,1.08,130,93,74.6,13,8,12,12,36.4,5,2,3,0,60.0,Matches
93,Steve Mandanda,fr FRA,GK,Rennes,fr Ligue 1,39-044,1985,32,32,2880,32.0,43,1.34,139,99,70.5,12,9,11,7,21.9,2,2,0,0,0.0,Matches
94,Christos Mandas,gr GRE,GK,Lazio,it Serie A,22-237,2001,8,7,631,7.0,6,0.86,26,20,76.9,5,1,1,3,42.9,0,0,0,0,,Matches
95,Diego Mariño,es ESP,GK,Almería,es La Liga,34-002,1990,1,1,90,1.0,2,2.0,4,2,100.0,0,0,1,0,0.0,2,2,0,0,0.0,Matches
96,Unai Marrero,es ESP,GK,Real Sociedad,es La Liga,22-215,2001,2,1,142,1.6,3,1.9,5,2,60.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches
97,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,31-252,1992,33,33,2925,32.5,45,1.38,132,90,66.7,19,7,7,8,24.2,1,1,0,0,0.0,Matches
98,Josep Martinez,es ESP,GK,Genoa,it Serie A,25-350,1998,34,34,3059,34.0,41,1.21,120,79,67.5,10,13,11,8,23.5,3,2,1,0,33.3,Matches
99,Remi Matthews,eng ENG,GK,Crystal Palace,eng Premier League,30-091,1994,1,0,4,0.0,1,22.5,1,0,0.0,0,0,0,0,,0,0,0,0,,Matches
100,Luís Maximiano,pt POR,GK,Almería,es La Liga,25-127,1999,31,31,2790,31.0,58,1.87,161,102,66.5,2,11,18,6,19.4,7,4,1,2,20.0,Matches
101,Alex Meret,it ITA,GK,Napoli,it Serie A,27-050,1997,28,28,2503,27.8,36,1.29,95,57,64.2,10,11,7,4,14.3,4,2,2,0,50.0,Matches
102,Alexander Meyer,de GER,GK,Dortmund,de Bundesliga,33-028,1991,7,6,605,6.7,6,0.89,21,16,71.4,4,1,1,3,50.0,0,0,0,0,,Matches
103,Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,27-081,1997,34,34,3060,34.0,29,0.85,125,96,80.8,11,14,9,18,52.9,5,5,0,0,0.0,Matches
104,Antonio Mirante,it ITA,GK,Milan,it Serie A,40-308,1983,1,1,90,1.0,1,1.0,4,3,75.0,0,0,1,0,0.0,0,0,0,0,,Matches
105,Lorenzo Montipò,it ITA,GK,Hellas Verona,it Serie A,28-081,1996,35,35,3150,35.0,46,1.31,150,105,70.7,8,10,17,8,22.9,2,2,0,0,0.0,Matches
106,Kevin Müller,de GER,GK,Heidenheim,de Bundesliga,33-057,1991,32,32,2880,32.0,53,1.66,161,110,71.4,9,11,12,6,18.8,10,7,1,2,12.5,Matches
107,Arijanet Muric,xk KVX,GK,Burnley,eng Premier League,25-186,1998,8,8,720,8.0,12,1.5,63,51,82.5,2,4,2,0,0.0,2,1,1,0,50.0,Matches
108,Juan Musso,ar ARG,GK,Atalanta,it Serie A,30-005,1994,10,10,900,10.0,12,1.2,31,20,67.7,5,1,4,5,50.0,2,2,0,0,0.0,Matches
109,Yvon Mvogo,ch SUI,GK,Lorient,fr Ligue 1,29-340,1994,32,32,2880,32.0,63,1.97,199,137,71.9,6,8,18,3,9.4,7,7,0,0,0.0,Matches
110,Keylor Navas,cr CRC,GK,Paris S-G,fr Ligue 1,37-148,1986,3,3,270,3.0,6,2.0,10,4,50.0,1,2,0,0,0.0,1,1,0,0,0.0,Matches
